name	priority	interruptable	schedulable	ruleOrder	ruleType	andOrConnector	notConnector	ruleActionText
answerDoorBell	70	0	1	0	R	0	0	::515:: GOAL-AnserDoorBell is true
answerDoorBell	70	0	1	1	A	0	0	::0::Care-O-Bot 3.2 says 'Doorbell' and wait for completion
answerDoorBell	70	0	1	2	A	0	0	Wait for 5 seconds on ::0::Care-O-Bot 3.2
checkBell	80	0	1	1	R	0	0	Doorbell Last Wattage > 1 AND was in this state within the last 10 seconds
checkBell	80	0	1	2	A	0	0	SET ::515::GOAL-AnserDoorBell TO  true
lowerTray	0	0	0	9	R	0	0	::500:: TrayIsRaised is true
lowerTray	0	0	0	10	R	0	0	::504:: TrayIsEmpty is true
lowerTray	0	0	0	11	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  yellow
lowerTray	0	0	0	12	A	0	0	move tray on ::0::Care-O-Bot 3.2 to Lowered and wait for completion
lowerTray	0	0	0	13	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  white and wait for completion
lowerTray	0	0	0	14	A	0	0	SET ::500::TrayIsRaised TO  false
lowerTray	0	0	0	15	A	0	0	SET ::501::TrayIsLowered TO  true
raiseTray	0	0	0	13	R	0	0	::501:: TrayIsLowered is true
raiseTray	0	0	0	14	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  yellow
raiseTray	0	0	0	15	A	0	0	move tray on ::0::Care-O-Bot 3.2 to Raised and wait for completion
raiseTray	0	0	0	16	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  white and wait for completion
raiseTray	0	0	0	17	A	0	0	SET ::500::TrayIsRaised TO  true
raiseTray	0	0	0	18	A	0	0	SET ::501::TrayIsLowered TO  false
S1-alertFridgeDoor	60	0	1	27	R	0	0	Fridge Freezer In *ON* AND has been in this state for more than 30 seconds
S1-alertFridgeDoor	60	0	1	31	R	0	0	::514:: GOAL-fridgeUserAlerted is false
S1-alertFridgeDoor	60	0	1	32	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  yellow
S1-alertFridgeDoor	60	0	1	34	A	0	0	move ::0::Care-O-Bot 3.2 to ::2:: Living Room and wait for completion
S1-alertFridgeDoor	60	0	1	35	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  white and wait for completion
S1-alertFridgeDoor	60	0	1	36	A	0	0	::0::Care-O-Bot 3.2 says 'The fridge door is open!' and wait for completion
S1-alertFridgeDoor	60	0	1	37	A	0	0	SET ::506::GOAL-gotoCharger TO  false
S1-alertFridgeDoor	60	0	1	38	A	0	0	SET ::507::GOAL-gotoTable TO  false
S1-alertFridgeDoor	60	0	1	39	A	0	0	SET ::508::GOAL-gotoSofa TO  false
S1-alertFridgeDoor	60	0	1	40	A	0	0	::0::Care-O-Bot 3.2 GUI,S1-Set-GoToKitchen,S1-Set-WaitHere
S1-alertFridgeDoor	60	0	1	41	A	0	0	SET ::514::GOAL-fridgeUserAlerted TO  true
S1-continueWatchTV	35	1	1	11	R	0	0	::513:: GOAL-watchTV is true
S1-continueWatchTV	35	1	1	12	R	0	0	Television Wattage > 10
S1-continueWatchTV	35	1	1	13	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  yellow
S1-continueWatchTV	35	1	1	21	A	0	0	Execute sequence 'lowerTray' on ::0::Care-O-Bot 3.2
S1-continueWatchTV	35	1	1	22	A	0	0	move ::0::Care-O-Bot 3.2 to ::31:: TV location in the Living Room
S1-continueWatchTV	35	1	1	23	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  white
S1-continueWatchTV	35	1	1	24	A	0	0	move torso on ::0::Care-O-Bot 3.2 to the right and wait for completion
S1-continueWatchTV	35	1	1	25	A	0	0	move torso on ::0::Care-O-Bot 3.2 to the back position and wait for completion
S1-continueWatchTV	35	1	1	26	A	0	0	::0::Care-O-Bot 3.2 GUI,S1-Set-ReturnHome,S1-Set-Continue
S1-goToKitchen	40	1	1	31	R	0	0	::505:: GOAL-gotoKitchen is true
S1-goToKitchen	40	1	1	32	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  yellow
S1-goToKitchen	40	1	1	43	A	0	0	Execute sequence 'lowerTray' on ::0::Care-O-Bot 3.2
S1-goToKitchen	40	1	1	44	A	0	0	move ::0::Care-O-Bot 3.2 to ::7:: Kitchen Entrance in the Dining Room and wait for completion
S1-goToKitchen	40	1	1	45	A	0	0	Execute sequence 'raiseTray' on ::0::Care-O-Bot 3.2
S1-goToKitchen	40	1	1	46	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  white
S1-goToKitchen	40	1	1	47	A	0	0	SET ::505::GOAL-gotoKitchen TO  false
S1-goToKitchen	40	1	1	48	A	0	0	SET ::509::GOAL-waitAtKitchen TO  true
S1-gotoSofa	40	1	1	12	R	0	0	::508:: GOAL-gotoSofa is true
S1-gotoSofa	40	1	1	13	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  yellow
S1-gotoSofa	40	1	1	14	A	0	0	Execute sequence 'lowerTray' on ::0::Care-O-Bot 3.2
S1-gotoSofa	40	1	1	15	A	0	0	move ::0::Care-O-Bot 3.2 to ::14:: Living Room Sofa Area in the Living Room and wait for completion
S1-gotoSofa	40	1	1	16	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  white and wait for completion
